Group	Specie	Mz	Sample	CE	C.FAI	C.COI	FA-CO.ratio	FA_Isomer	1st Pos	1st CF	1st C.FAI	1st rel_FAI	2nd Pos	2nd CF	2nd C.FAI	2nd rel_FAI	3rd Pos	TX.CF	C.FAI with TX.CF
Group-1	PC 33:1:0	253.22	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	25.0	3108387.0	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.902..0.981]	[2803765.0..3049327.8]	[0.71..0.725]	[0.97..1.0]	[0.979..0.981]	[3043110.8..3049327.8]	[0.727..0.727]	[0.973..1.0]	0.8626638	[2418706.8..2630544.8]
Group-1	PC 33:1:0	253.22	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	30.0	3463524.8	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.912..0.97]	[3158734.5..3359619.0]	[0.695..0.706]	[0.97..1.0]	[0.968..0.97]	[3352692.0..3359619.0]	[0.707..0.708]	[0.973..1.0]	0.8626638	[2724926.0..2898221.8]
Group-1	PC 33:1:0	253.22	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	35.0	3156443.8	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.935..0.969]	[2951275.0..3058594.0]	[0.677..0.684]	[0.97..1.0]	[0.968..0.969]	[3055437.5..3058594.0]	[0.685..0.685]	[0.973..1.0]	0.8626638	[2545958.0..2638538.2]
Group-1	PC 33:1:0	269.25	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	25.0	1165322.6	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.983..0.991]	[1145512.1..1154834.8]	[0.275..0.29]	[0.0..0.03]	[0.983..0.983]	[1145512.1..1145512.1]	[0.273..0.273]	[0.0..0.027]	0.8626638	[988191.8..996234.06]
Group-1	PC 33:1:0	269.25	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	30.0	1428648.1	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.971..0.977]	[1387217.4..1395789.2]	[0.294..0.305]	[0.0..0.03]	[0.971..0.971]	[1387217.4..1387217.4]	[0.292..0.293]	[0.0..0.027]	0.8626638	[1196702.1..1204096.8]
Group-1	PC 33:1:0	269.25	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	35.0	1455620.6	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.967..0.97]	[1407585.1..1411952.0]	[0.316..0.323]	[0.0..0.03]	[0.967..0.967]	[1407585.1..1407585.1]	[0.315..0.315]	[0.0..0.027]	0.8626638	[1214272.8..1218040.0]
Group-1	PC 35:1:0	269.25	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	25.0	1768616.0	0.0	0.0	[0.0..0.0]	[0.0..0.0]	[0.983..0.983]	[1738549.5..1738549.5]	[0.266..0.266]	[0.0..0.0]	[0.983..0.983]	[1738549.5..1738549.5]	[0.266..0.266]	[0.0..0.0]	0.83740646	[1455872.6..1455872.6]
Group-1	PC 35:1:0	269.25	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	30.0	1947653.9	0.0	0.0	[0.0..0.0]	[0.0..0.0]	[0.971..0.971]	[1891172.0..1891172.0]	[0.281..0.281]	[0.0..0.0]	[0.971..0.971]	[1891172.0..1891172.0]	[0.281..0.281]	[0.0..0.0]	0.83740646	[1583679.5..1583679.5]
Group-1	PC 35:1:0	269.25	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	35.0	2016385.2	0.0	0.0	[0.0..0.0]	[0.0..0.0]	[0.967..0.967]	[1949844.5..1949844.5]	[0.301..0.301]	[0.0..0.0]	[0.967..0.967]	[1949844.5..1949844.5]	[0.301..0.301]	[0.0..0.0]	0.83740646	[1632812.4..1632812.4]
Group-1	PC 35:1:0	281.25	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	25.0	4986808.5	0.0	0.0	[9.0..9.0]	[1.0..1.0]	[0.964..0.964]	[4807283.5..4807283.5]	[0.734..0.734]	[1.0..1.0]	[0.964..0.964]	[4807283.5..4807283.5]	[0.734..0.734]	[1.0..1.0]	0.83740646	[4025650.2..4025650.2]
