Species	PRI_240116_PG_FTMSMS-_1.mzXML	PRI_240116_PG_FTMSMS-_2.mzXML	PRI_240116_PG_FTMSMS-_3.mzXML	PRI_240116_PG_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PG_FTMSMS-_1.mzXML	FAI.FC_240116_PG_FTMSMS-_2.mzXML	FAI.FC_240116_PG_FTMSMS-_3.mzXML	FAI.FC_240116_PG_FTMSMS-_4.mzXML	FAI.FC_Group-1
PG 30:0:0	0.048590913	0.06981885	0.05936128	0.065483086	[0.048590913..0.06981885]	Sum	[0.066123806..0.06913032]	[0.062210407..0.06699923]	[0.060102426..0.069436245]	[0.06229161..0.069417395]	[0.060102426..0.069436245]	
						PG 16:0/14:0	[0.033911947..0.037101116]	[0.02912295..0.035288386]	[0.02692655..0.03538513]	[0.030778188..0.03701182]	[0.02692655..0.037101116]	
						PG 14:0/16:0	[0.030217258..0.03326779]	[0.028816393..0.03495548]	[0.028698033..0.037450414]	[0.028500602..0.034461655]	[0.028500602..0.037450414]	
						PG 15:0/15:0	[9.0069015E-4..9.4799965E-4]	[6.6795753E-4..8.335915E-4]	[7.646989E-4..0.0010044556]	[5.134393E-4..9.2742173E-4]	[5.134393E-4..0.0010044556]	
PG 30:1:0	0.03187189	0.0	0.0	0.02883255	[0.0..0.03187189]	Sum	[0.028403012..0.029194547]	[0.027548656..0.031267706]	[0.02621204..0.03361627]	[0.026995042..0.030168165]	[0.02621204..0.03361627]	
						PG 18:1/12:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 12:0/18:1	[0.002769122..0.0029182471]	[0.0030975207..0.0032997308]	[0.002876542..0.0036486194]	[0.0027615905..0.003136976]	[0.0027615905..0.0036486194]	
						PG 16:0/14:1	[0.005685452..0.007493197]	[0.005087757..0.0073387916]	[0.0036493249..0.0071624913]	[0.0059817187..0.008816949]	[0.0036493249..0.008816949]	
						PG 14:1/16:0	[0.004759637..0.006517456]	[0.0055136555..0.007859973]	[0.0065950216..0.011120288]	[0.0035296537..0.0059212493]	[0.0035296537..0.011120288]	
						PG 16:1/14:0	[0.0013765807..0.0018390738]	[0.0010719538..0.0014548644]	[0.0011607826..0.001659799]	[6.3902995E-4..0.0015409985]	[6.3902995E-4..0.0018390738]	
						PG 14:0/16:1	[0.011741424..0.012703757]	[0.011571935..0.012827987]	[0.0100714965..0.012960865]	[0.011619912..0.01344486]	[0.0100714965..0.01344486]	
PG 31:0:0	0.0307394	0.0	0.0	0.03591874	[0.0..0.03591874]	Sum	[0.097703576..0.11071343]	[0.09351386..0.110951625]	[0.093642525..0.11123684]	[0.09104909..0.112573944]	[0.09104909..0.112573944]	
						PG 17:0/14:0	[5.188534E-4..7.3710276E-4]	[6.654537E-4..0.0010723025]	[5.0792703E-4..8.9346874E-4]	[5.9022714E-4..8.828641E-4]	[5.0792703E-4..0.0010723025]	
